GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.fulfilment.application.monolith.stores.adapters.database,StoreRepository,73,0,0,0,18,0,8,0,8,0
java-code-assignment,com.fulfilment.application.monolith.stores.adapters.carrier,StoreDetails,12,0,0,0,1,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,0,12,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.common,GenericExceptionMapper,55,0,4,0,12,0,5,0,3,0
java-code-assignment,com.fulfilment.application.monolith.common,MapStructConfig,3,0,0,0,1,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,39,0,4,0,13,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,32,46,4,4,10,13,4,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,97,0,10,0,28,0,7,0,2,0
java-code-assignment,com.fulfilment.application.monolith.stores.domain.model,Store,12,0,0,0,1,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.stores.adapters.restapi,StoreResource,101,0,6,0,20,0,10,0,7,0
java-code-assignment,com.warehouse.api.beans,Warehouse,38,0,0,0,16,0,11,0,11,0
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource.ErrorMapper,48,0,4,0,11,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.products,ProductRepository,3,0,0,0,1,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.products,Product,6,0,0,0,3,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,119,0,10,0,27,0,12,0,7,0
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,0,95,0,0,0,15,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.stores.adapters.mapper,DbStoreMapper,24,0,4,0,7,0,3,0,1,0
java-code-assignment,com.fulfilment.application.monolith.stores.adapters.mapper,DbStoreMapperImpl,121,0,22,0,38,0,16,0,5,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouse,0,34,0,0,0,9,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,WarehouseRepository,45,65,2,2,10,14,3,5,2,4
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,59,0,0,0,20,0,4,0,4,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreEventObserver,32,0,0,0,8,0,4,0,4,0
java-code-assignment,com.fulfilment.application.monolith.stores,DbStore,6,0,0,0,3,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,170,0,8,0,39,0,11,0,7,0
java-code-assignment,com.fulfilment.application.monolith.stores.domain.usecases,StoreUserCase,87,0,8,0,20,0,11,0,7,0
